uri,title,event_date,sentiment,categories,loc_country,loc_continent,article_count,total_article_count,delo,dnevnik,vecer
eng-5191130,Uradno: Evropska komisija v torek o vstopu Hrvaške v schengen,2019-10-22,0.223529411764706,news/Politics,-,-,166,34,1,1,1
slv-57420,Umrl je avtor znamenite skladbe iz Cvetja v jeseni,2019-01-09,,news/Arts and Entertainment,Slovenia,Europe,10,10,1,1,1
slv-57522,"Celjsko gledališče umaknilo s sporeda komedijo Borisa Kobala, ker je plagiat",2019-01-15,,news/Arts and Entertainment,Slovenia,Europe,47,47,1,1,1
slv-57694,Umrl je eden največjih srbskih režiserjev Dušan Makavejev,2019-01-25,,news/Arts and Entertainment,Serbia,Europe,8,8,1,1,1
slv-57801,Kobal: Razlog za moje dejanje je huda osebna stiska,2019-01-30,,news/Arts and Entertainment,Slovenia,Europe,8,8,1,1,1
slv-61470,"Umrl je Peter Fonda, dvakratni oskarjevski nominiranec in zvezdnik Golih v sedlu",2019-08-17,,news/Arts and Entertainment,United States,Noth America,11,11,1,1,1
slv-62885,Popolno zmagoslavje predstave še ni naslova,2019-10-27,,news/Arts and Entertainment,Slovenia,Europe,9,9,1,1,1
slv-63454,Svetlana Makarovič bo svoj honorar obdržala zase,2019-11-22,,news/Arts and Entertainment,-,-,10,10,1,1,1
slv-64593,"Simona Semenič, mladinska pisateljica: nagrada modra ptica za njen novi roman",2020-01-14,,news/Arts and Entertainment,Slovenia,Europe,11,11,1,1,1
slv-64882,"V 2020 bo Kolosej vsak dan predvajal (vsaj en) domač film, dobili smo tudi ""slovenski IMDb""",2020-01-22,,news/Arts and Entertainment,Slovenia,Europe,8,8,1,1,1
slv-65733,Okužen slovenski zamejski deželni svetnik,2020-03-04,,news/Arts and Entertainment,Italy,Europe,17,17,1,1,1
slv-66562,Nov nogometni škandal: karanteno tokrat kršil Kyle Walker,2020-04-05,,news/Arts and Entertainment,-,-,9,9,1,1,1
tur-561109,Harry in Meghan ne bosta več uporabljala nazivov britanskega dvora,2020-01-17,,news/Arts and Entertainment,United Kingdom,Europe,117,14,1,1,1
ukr-53218,Poslovil se je legendarni ameriški filmski igralec Kirk Douglas,2020-02-06,,news/Arts and Entertainment,United States,Noth America,33,19,1,1,1
slv-65303,Izjemna vrnitev Dončića po poškodbi,2020-02-13,,news/Business,United States,Noth America,9,9,1,1,1
slv-62497,Banka Slovenija pri kreditih prebivalstvu pritiska na zavoro,2019-10-09,,news/Business,-,-,13,13,1,1,1
ita-142691,V strmoglavljenju letala Ethiopian Airlines ugasnilo 157 življenj (zbirno),2019-03-10,,news/Business,Ethiopia,Africa,214,46,1,1,1
slv-57509,"Za deficitarne poklice znova namenjenih 3,6 milijona evrov",2019-01-14,,news/Business,Slovenia,Europe,10,10,1,1,1
slv-57590,"(FOTO) Najmanj 21 ljudi je umrlo, ker so poskušali ukrasti nafto iz naftovoda",2019-01-19,,news/Business,Mexico,Noth America,18,18,1,1,1
slv-57794,Anka Brus in Sonja Šmuc sta prejemnici priznanja artemida Združenja Manager  ,2019-01-30,,news/Business,Slovenia,Europe,6,6,1,1,1
slv-58005,"Fiskalni svet o Šarčevem predlogu rebalansa: Neustrezno, problematično, zaskrbljujoče",2019-02-11,,news/Business,-,-,11,11,1,1,1
slv-58404,Po hudi nesreči Mirka Tuša vodenje Skupine Tuš prevzema Andraž Tuš,2019-03-05,,news/Business,-,-,12,12,1,1,1
slv-58941,"""Država je DSP spravila povsem na kolena""",2019-04-02,,news/Business,-,-,8,8,1,1,1
slv-59998,Paloma bo investirala v nov papirni stroj,2019-05-31,,news/Business,-,-,6,6,1,1,1
slv-60572,"Svet24.si - Razkrita ""navadna"" plača Lidije Glavina",2019-07-01,,news/Business,-,-,11,11,1,1,1
slv-61036,"Menjava v vrhu TSmedia, bo zaposleni na RTV Slovenija nadziral programe Planet TV?",2019-07-24,,news/Business,-,-,11,11,1,1,1
slv-61697,Blejska hotela Kompas in Lovec prodana kitajskim vlagateljem,2019-08-30,,news/Business,Slovenia,Europe,8,8,1,1,1
slv-61767,Konec nove Lekove tovarne v Prevaljah,2019-09-02,,news/Business,Slovenia,Europe,14,14,1,1,1
slv-62235,Mercator v poletju s petino višjim dobičkom,2019-09-26,,news/Business,-,-,6,6,1,1,1
slv-62498,"Največ nasmetijo Primorci, najtemeljiteje ločujejo Gorenjci",2019-10-09,,news/Business,-,-,7,7,1,1,1
slv-62881,"Češki investitorji bodo za CME odšteli skoraj 1,9 milijarde evrov",2019-10-28,,news/Business,-,-,14,14,1,1,1
slv-63058,"Banka Slovenije ohranja ukrep: ""Smo neodvisna in strokovna institucija""",2019-11-06,,news/Business,-,-,11,11,1,1,1
slv-63118,"Mesec dni po stečaju Adrie Airways: Čas beži, piloti tudi, vlada še preračunava",2019-11-08,,news/Business,Slovenia,Europe,10,10,1,1,1
slv-63744,Tovšakova priznala krivdo glede prekupčevanja z nepremičninami Delamarisa,2019-12-04,,news/Business,-,-,8,8,1,1,1
slv-63975,Najvplivnejša ženska ostaja Angela Merkel,2019-12-14,,news/Business,-,-,8,8,1,1,1
slv-64233,Kupec NLB Vite je Sava Re,2019-12-27,,news/Business,Slovenia,Europe,9,9,1,1,1
slv-64332,Bo Ghosn nadaljeval pot v Francijo?,2020-01-02,,news/Business,Japan,Asia,11,11,1,1,1
slv-64624,Narok za izrek kazni Tovšakovi v Celju prestavljen na februar,2020-01-15,,news/Business,Slovenia,Europe,6,6,1,1,1
slv-65096,V stečajni masi Adrie Airways dobrih šest milijonov evrov,2020-02-04,,news/Business,Slovenia,Europe,8,8,1,1,1
slv-65280,Airbus predstavil model zaobljenega letala,2020-02-11,,news/Business,-,-,5,5,1,1,1
slv-65462,Rastoder po odkritju kokaina v bananah: Smo tarča kriminalne združbe,2020-02-20,,news/Business,United Kingdom,Europe,8,8,1,1,1
slv-66145,Gorenje za dva tedna ustavlja proizvodnjo,2020-03-23,,news/Business,Serbia,Europe,8,8,1,1,1
