uri,title,event_date,sentiment,categories,loc_country,loc_continent,article_count,total_article_count,summary,nytimes,indiatimes,washingtonpost,usatoday,chinadaily
eng-4506058,'Sin tax' doubles the cost of alcohol overnight in Qatar,2019-01-01,-0.01960784313725494,"news/Business, dmoz/Health/Addictions, dmoz/Health/Addictions/Substance Abuse, dmoz/Health/Specific Substances/Alcoholic Beverages",Iran,Asia,25,29,"Doha is the capital of the State of Qatar.Kamran Jebreili / AP file  Qatar welcomed the new year by implementing a 100 percent tax on alcohol, doubling prices overnight and sending the cost of a 12-pack of beer jumping to $78.  The increase has been branded a ""sin tax"" by some residents of the wealthy Gulf state as it targets products widely prohibited under Islamic law.  It was introduced by Qatar's General Authority of Customs on Jan. 1, and applies to tobacco products, energy drinks and pork -",1,0,0,0,0
eng-4506713,'Like It Was Christmas All Year:' GOP Succeeded in Making 2018 Yet Another Year the Rich Got Richer,2019-01-01,0.06666666666666665,"news/Business, dmoz/Business/Accounting, dmoz/Business/Accounting/Tax Negotiation and Representation, dmoz/Home/Personal Finance/Tax Preparation",-,-,89,89,"With year two of Republicans' Tax Cuts and Jobs Act (TCJA) now underway and the party touting the $1.5 trillion tax plan's supposed successes, critics of the unpopular law are spotlighting the party's broken promises and saying the so-called tax scam merely helped to make 2018 another year of bloated corporate profits and enriching the already wealthy.  In fact, the wealthy were ""celebrating like it was Christmas all year, which it basically was for them,"" wrote Frank Clemente, executive director",1,0,0,0,1
eng-4508538,India's tariff to cost US $900m,2019-01-01,-0.09019607843137256,"news/Business, dmoz/Business/International Business and Trade, dmoz/Business/International Business and Trade/Import and Export, dmoz/Society/Issues/Economic",-,-,64,64,"Washington: India's proposed retaliatory tariffs against US agricultural products including apples, almonds and lentils will have an adverse impact on American exports worth nearly $900 million, according to the latest Congressional report.  India, in 2018, had announced higher import duties on many US products like apples, almonds, walnuts, chickpeas and lentils in retaliation to President Donald Trump's decision to impose heavy tariffs on imported steel and aluminium items, a move that sparked ",1,0,0,0,0
eng-4514562,For-Profit Chain Cancels $494 Million in Student Debt to End State Investigations,2019-01-01,0.09019607843137245,"news/Business, dmoz/Business/Financial Services/College Financing, dmoz/Society/Issues/Education",United States,Noth America,64,64,"Nearly 180,000 former students at for-profit schools run by Career Education will not have to repay $494 million they owed to the company, a group of 49 state attorneys general announced Thursday.  The agreement to wipe out the debt held directly by Career Education, such as unpaid tuition, ended a five-year multistate investigation into complaints that the company used predatory and deceptive recruiting tactics.  Career Education misled students about the cost of its programs and its graduates' ",1,0,1,0,0
eng-4513955,"Log Cabins? No, These Wooden Buildings Are High-Rises",2019-01-01,0.1843137254901961,"news/Business, dmoz/Business/Construction and Maintenance/Building Types, dmoz/Computers/Software/Build Management, dmoz/Business/Agriculture and Forestry/Forestry",United States,Noth America,7,7,"Developers have not used wood for much other than houses since the horse-and-buggy days. But the knotty building material is making a comeback.  Seeking greener projects, which many consumers continue to embrace despite an anti-environmental mood in Washington, builders are choosing timber for offices, apartments and campus buildings, rather than the concrete and steel that dominated construction for decades.  Not everybody is on board with the trend, which is playing out from coast to coast. Con",1,0,0,0,0
eng-4506134,India remains fastest growing economy ahead of China despite up/downs,2019-01-01,0.2549019607843137,"news/Business, dmoz/Business/Financial Services, dmoz/Society/Issues/Government Operations, dmoz/Society/Issues/Economic",India,Asia,11,11,"NEW DELHI: India remained ahead of China to retain the tag world's fastest growing large economy withstanding several ups and downs, spike in oil prices and global trade war like situation during 2018. Indian economy's roller-coaster ride during the year gone by was best captured by the GDP growth. In the first quarter of 2018-19 ending June 30, it grew at an impressive 8.2 per cent, after 7.7 per cent in the first three months of the year.  Then it slipped to 7.1 per cent in the next quarter end",0,1,0,0,0
eng-4507138,Why Modi Government is Amending the Aadhaar Act and What it Means for You,2019-01-01,0.1450980392156862,"news/Business, dmoz/Society/Transgendered/Law, dmoz/Business/Financial Services/Medical Billing, dmoz/Business/Telecommunications/Customer Management",-,-,38,42,"New Delhi: The Narendra Modi government has introduced a Bill in parliament that propose amendments to various laws that underpin the Aadhaar ecosystem, in a move that comes after a Supreme Court verdict earlier this year curtailed the sprawling nature of India's biometric authentication programme.  The Aadhaar And Other Laws (Amendment) Bill 2018, which was passed by the cabinet two weeks ago and introduced by information technology minister Ravi Shankar Prasad in the Lok Sabha on Wednesday, con",0,1,0,0,0
eng-4507927,"Hyundai flags tough 2019 as US, China demand stays slow",2019-01-01,-0.06666666666666665,"news/Business, dmoz/Home/Consumer Information/Automobiles, dmoz/Business/Marketing and Advertising/Employment, dmoz/Business/Electronics and Electrical/Electromechanical",South Korea,Asia,37,37,"In his first New Year address to employees, group heir apparent Euisun Chung said Hyundai Motor Co and Kia Motors Corp would together launch 13 new or face-lifted models in 2019.  South Korea's Hyundai Motor Group flagged another year of tepid car sales growth on the back of a slow 2018, saying trade protectionism added uncertainty and major markets such as the United States and China remained sluggish.  In his first New Year address to employees, group heir apparent Euisun Chung said Hyundai Mot",0,1,0,0,0
eng-4508459,Delivery Boy Who Saved Lives Of 10 People In Mumbai Hospital Fire Gets Rs 1 Lakh As Reward,2019-01-01,0.02745098039215677,"news/Business, dmoz/Home/Emergency Preparation/Safety, dmoz/Health/Public Health and Safety, dmoz/Health/Public Health and Safety/Emergency Services",India,Asia,6,6,"The brave delivery boy who saved lives of 10 people during the fire accident at Mumbai's ESIC hospital was given a monetary award of Rs One Lakh.  Siddrameshwar Siddharam Humanabade, a food delivery boy pulled off a heroic act saving lives of numerous people at a Mumbai Hospital which was engulfed in flames on December 17, 2018. Labour minister Santosh Gangwar gave him the reward.  Also Read: Food Delivery Boy Jumps Into Mumbai Hospital That Caught Fire To Rescue Ten People  The braveheart saved ",0,1,0,0,0
eng-4516577,Rajasthan's New Year Gift To Girls Is Sanitary Pad Vending Machines In All Govt Colleges,2019-01-01,0.1843137254901961,"news/Business, dmoz/Health/Women's Health/Menstruation",India,Asia,6,6,"In February 2018, former Chief Minister of Rajasthan Vasundhara Raje had announced that sanitary napkins will be provided to women in rural areas.  The announcement was made as part of a new health scheme which will promote menstrual hygiene. PTI had reported that Rs 76 crore was also allotted for this initiative. As the world welcomes 2019, Rajasthan's new scheme will soon become a reality.  Sanitary napkin vending machines will be installed in all 189 government colleges, Times of India reporte",0,1,0,0,0
